group,latin_name,species,support,mode,submode,description,tooling_or_IOU,frame_of_reference,number_relations,temporal_order,1_dynamic_relation,2_dynamic_relation,manufacture,steps_manufacture,associative,type_associative,reference,total_references,page,comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan paniscus,Bonobo,anecdotal,scratch,brush_allogroom,brush human/toy teeth with toothbrush,tooling,allocentric,1,brush to teeth,dynamic,,no,,no,,Savage-Rumbaugh et al 1993,1,141,Seen in only one experimental animal (Kanzi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan paniscus,Bonobo,anecdotal,scratch,brush_autogroom,brush own teeth with toothbrush,tooling,egocentric,1,brush to teeth,dynamic,,no,,no,,Savage-Rumbaugh et al 1993,1,141,Seen in only one experimental animal (Kanzi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan paniscus,Bonobo,observational,scratch,scratch_autogroom,rub bodies with objects to scratch,tooling,egocentric,1,object to body,dynamic,,no,,no,,"Walraven, van Elsacker, and Verheyen 1993 ",1,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan paniscus,Bonobo,observational,scratch,scratch_autogroom,scratch body parts with sticks,tooling,egocentric,1,stick to body,dynamic,,yes,1,no,,Hohmann & Fruth 2003; Ingmanson 1996; Walraven et al 1993,3,"141,187",One wild female detached a twig from a tree before using it to scratch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan paniscus,Bonobo,observational,scratch,scratch_masturbate,masturbate with leaves/objects,tooling,egocentric,1,object to self,dynamic,,no,,no,,"Kuroda (982; Walkup, pers. obs.; Walraven, van Elsacker, and Verheyen 1993 ",3,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan paniscus,Bonobo,,symbolize,place_landmark,use vegetation along trail to convey information,IOU,,,,,,,,,,,,143-144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan paniscus,Bonobo,,throw,throw_open,throw stone to make stone flakes,IOU,,,,,,yes,1,,,,,138,**Tool making but not tooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan paniscus,Bonobo,,throw,throw_play,throw vegetation/objects at conspecifics/humans (in play),IOU,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan paniscus,Bonobo,,throw,throw_threat,throw vegetation/objects at conspecifics/humans (agonistic display),IOU,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan paniscus,Bonobo,observational,wipe,wipe_autogroom,use leaves/objects to wipe off faeces/urine/other off of body,tooling,egocentric,1,leaf to body,dynamic,,no,,no,,"Andre et al pers comm; Ingmanson 1996; Jordan 1982; Walraven, van Elsacker, and Verheyen 1993",4,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan paniscus,Bonobo,,wipe,wipe_unknown,wipe windows/floors with towel (possibly copying caretakers),IOU,,,,,,,,,,,,143,Borderline case (aim is unclear). Believed to be imitation of caretakers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,observational/experimental,absorb,dip_absorb,"use chewed/crumpled vegetation (""leaf sponge"") to reach water/palm juice/liquid in hole",tooling,allocentric,1,sponge to water,dynamic,,yes, 1-2,no,,"Bettinger & Carter 1991; Biro, Sousa & Matsuzawa 2006; Boesch & Boesch 1990; Brewer 1978; Goodall 1964, 1986; Hunt & McGrew 2002; Lanjouw 2002; Marchant, McGrew & Hunt 2007; McGrew 1977; Norikoshi & Kitahara 1979; Parker 1968, 1969; Sanz & Morgan 2007; Sousa & Matsuzawa 2004; Sugiyama 1989, 1995; Tonooka 2001; Tonooka, Tomonaga & Matsuzawa 1997; Matsusaka & Kutsukake 2002; Matsusaka et al. 2006; Ohashi 2006; Quiatt 2001, 2006; Reynolds 2005; Sugiyama 1994; Takasaki 1992; Takasaki & Tsukahara in Nishida 1990; Teleki 1973b, 1973c; Tutin, Ham & Wrogemann 1995; van Lawick-Goodall 1965, 1968, 1970, 1971, 1973; Watts 2008; Whiten et al. 1999; Wrangham 1975, 1977",41,"175-176,190,195",Detached leaves/collect moss for use/break stick in half. Chew into sponge. See pound for associative tool use involving reaching juice after pounding hole in palm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,absorb,place_absorb,place vegetation/objects in liquids to suck,IOU,,,,,,,,,,,,175-176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,absorb,place_absorb,dip fruit/food in water,IOU,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,affix,place_adorn,place branches/objects on selves (in adornment),IOU,,,,,,,,,,,,177-178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,affix,place_comfort,line surface of nests with leafy twigs/leaves,IOU,,,,,,,,,,,,178-179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,anecdotal,affix,place_ignite,light cigarette with another lit cigarette,tooling,allocentric,1,cigarette to cigarette,dynamic,,no,,no,,Brink 1957,1,179,Seen in two captive animals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,affix,place_play,place branches/objects on selves (in play),IOU,,,,,,,,,,,,177-178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,affix,place_protect,cover insect in cloth before smashing,IOU,,,,,,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,affix,place_protect,"grasp sticks by feet during locomotion (as protection) (""stepping sticks"")",IOU,,,,,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,affix,place_protect,"place parasite on leaf to squash (""leaf-squash"")",IOU,,,,,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,affix,place_rest,"place vegetation/boxes to sit on (to avoid uncomfortable surfaces) (""seat sticks"" / ""leaf cushions"" / "" seat vegetation"")",IOU,,,,,,,,,,,,178-179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,affix,place_shelter,use branches as rain cover,IOU,,,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,affix,place_wedge,prop up anvil with small stone wedge,IOU,,,,,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,affix,sand_unknown,"sand furniture with sandpaper (unknown reason, likely copying)",IOU,,,,,,,,,,,,179,Seen in only one experimental animal (Viki). Imitating caretakers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,anecdotal,affix,scratch_masturbate,use suction hose vacuum cleaner to masturbate,tooling,egocentric,1,vacuum to genitals,static,,no,,no,,Temerlin 1975,1,179,Seen in only one experimental animal (Lucy).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,bait,bait_attract,lure animals with food (to attack),IOU,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,bait,bait_share,share meat between individuals (for sex or alliances?),IOU,,,,,,,,,,,,150-151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,bait,groom_unknown,"groom leaves (""leaf-grooming"") (to get attention or perk up grooming bouts?)",IOU,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,bait,place_sound,"pull a leaf through lIOU/teeth/fingers to produce noise (""leaf-clipping"" / ""billet-doux"" / ""leaf-strip"" / ""stem pull-through"") (as communicative signal? Courtship? Frustration?)",IOU,,,,,,,,,,,,149-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,bait,present_appease,take an infant to halt an agonistic interaction,IOU,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,bait,present_play,"display an object (to initiate play behaviour) (""play-start"")",IOU,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,bait,snatch_attention,carry off infant sibling to get mother to follow,IOU,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,bait,trade_reward,exchange objects with humans,IOU,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,block,block_trap,leave stick in termite mounds as stopper,IOU,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,brandish,shake_courtship,"wave/shake branches at females (""branching""/""branch-shake"") (as courtship)",IOU,,,,,,,,,,,,148-149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,brandish,shake_threat,"wave/shake branches at conspecifics/other animals (""branching""/""branch-shake"") (intimidation)",IOU,,,,,,,,,,,,148-149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,brandish,wave_play,brandish sticks in play,IOU,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,brandish,wave_ward,wave objects to disperse insects,IOU,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,observational,club,club_hunt,"kill bees with sticks to eat/access nest (""bee-probe"")",tooling,allocentric,1,stick to bee,dynamic,,no,,no,,Boesch & Boesch 1990; Whiten et al 1999,2,151-152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,observational/experimental,club,club_play,club conspecifics/animals with sticks (in play),tooling,allocentric,1,stick to conspecific,dynamic,,no,,no,,"Albrecht & Dunnett 1971; Boesch 1991; Boesch & Boesch 1990; Fletcher & Weghorst 2005; Goodall 1986; Hirata et al. 2001; Köhler 1925; Kollar 1972; Itani & Suzuki 1967; Kortlandt 1965, 1967a, 1967b; Kortlandt & Kooij 1963; Kummer & Goodall 1985; van Lawick–Goodall 1968, 1970, 1971; Linden 2002; Matsusaka 2007; McGrew pers comm; Nishida 1970; Nishida 2003; Nishida et al. 1999; Savage 1976; Sheak 1924; Takeshita & van Hooff 1996, 2001; van Hooff 1973; Vancatova 2008; Watts 2008; Whiten et al 2001; Wilson & Wilson 1968",32,151-152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,observational/experimental,club,club_threat,club conspecifics/animals with sticks (in agonism),tooling,allocentric,1,stick to conspecific,dynamic,,no,,no,,"Albrecht & Dunnett 1971; Boesch 1991; Boesch & Boesch 1990; Fletcher & Weghorst 2005; Goodall 1986; Hirata et al. 2001; Köhler 1925; Kollar 1972; Itani & Suzuki 1967; Kortlandt 1965, 1967a, 1967b; Kortlandt & Kooij 1963; Kummer & Goodall 1985; van Lawick–Goodall 1968, 1970, 1971; Linden 2002; Matsusaka 2007; McGrew pers comm; Nishida 1970; Nishida 2003; Nishida et al. 1999; Savage 1976; Sheak 1924; Takeshita & van Hooff 1996, 2001; van Hooff 1973; Vancatova 2008; Watts 2008; Whiten et al 2001; Wilson & Wilson 1968",32,151-152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,contain,contain_hold,Poop into leaf and remove meat to eat,IOU,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,contain,contain_hold,place parasite on leaf to inspect,IOU,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,contain,contain_hold,carry water in containers,IOU,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,contain,contain_hold,carry food in leaves,IOU,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,contain,place_absorb,dip leaf into water and lick off,IOU,,,,,,,,,,,,174,Borderline case (aim is unclear).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,observational,contain,scoop_access, scoop water with folded leaf,tooling,allocentric,1,cup to water,dynamic,,yes,2,no,,"Biro, Sousa & Matsuzawa 2006; Tonooka 1995, 2001; Tonooka & Inoue-Nakamura 1993; Tonooka, Inoue-Nakamura, & Matsuzawa 1994",5,"174,195",Deatch leaves and fold in mouth into pleats.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,observational,contain,scoop_access,use spoon/cups/objects to eat/drink,tooling,allocentric,1,spoon to food,dynamic,,yes,1,no,,"Bettinger & Carter 1991; Brewer 1978; Fletcher & Weghorst 2005; Fouts 1997; Furness 1916; Gaspar 1993; Hayes 1951; Ladygina-Kohts 2002; McGrew & Tutin in McGrew 1992; Takeshita & van Hooff 1996, 2001; Temerlin 1975; Tonooka, Tomonaga & Matsuzawa 1997; van Hooff 1973",14,"174-175,190",Captive chimpanzees only. One captive made cup by deatching side of plastic brick.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,anecdotal,cut,burn_access,burn through a string with a candle to open a box,tooling,allocentric,1,candle to string,dynamic,,no,,no,,Hayes & Hayes 1952,1,172,Seen in only one experimental animal (Viki).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,anecdotal,cut,cut_access,cut a string with scissors to enable opening a box,tooling,allocentric,1,scissors to string,dynamic,,no,,no,,Hayes & Nissen 1971,1,172,Seen in only one experimental animal (Viki),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,anecdotal,cut,cut_access,cut through hide with bone fragments to access bottle opening,tooling,allocentric,1,bone to hide,dynamic,,no,,no,,"Kitahara-Frisch, Norikoshi & Hara 1987",1,172,Cannot find report for more details. Occurred with captive chimpanzees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,anecdotal,cut,cut_autogroom,cut own hair with scissors,tooling,egocentric,1,scissors to hair,dynamic,,no,,no,,Hayes & Hayes 1952,1,172,Seen in only one experimental animal (Viki),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,observational,dig,dig_access,dig soil/nest with stick to access insects,tooling,allocentric,1,stick to soil,dynamic,,no,,no,,"Fay & Carroll 1994; Fowler & Sommer 2007; Goodall 1979; McGrew, Tutin & Baldwin 1979; Mwanza et al 1992; Suzuki, Kuroda & Nishihara 1995; Sugiyama 1985, 1995; Sugiyama & Koman 1979; Sugiyama, Koman & Sow 1988; Takenoshita 1996; Teleki 1974; Whiten & McGrew 2001a, 2001b (controversial - interpretation of a stamp); Yamagiwa et al 1988",15,"157-158,200","Several of these cases were inferences from found tools. Possible sequential tool use/tool set (digging then probing) but only secondary evidence. Shumaker acknowldges the conflation issue between ""prying"" and ""digging.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,anecdotal,dig,dig_access,dig in ground for tubers with sticks,tooling,allocentric,1,stick to ground,dynamic,,no,,no,,"Heranndez-Aguilar, Moore & Pickerings 2007",1,158,Indirect evidence. Only tools found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,anecdotal,dig,dig_access,dig in ground with sticks/objects for objects,tooling,allocentric,1,stick to ground,dynamic,,no,,no,,"Cowper 1971; Hayes & Hayes, 1954; Köhler 1925; King, Stevens & Mellen 1980; Kollar 1972; Ladygina-Kohts 2002; Menzel 1972, 1973; Menzel, Davenport & Rogers 1970; van Hooff 1973",10,158-159,All accounts of captive chimpanzees. Intention not always evident.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,observational,dig,dig_well,dig water wells in the ground with stick,tooling,allocentric,1,stick to ground,dynamic,,no,,no,,"Galat-Luong & Galat 2000; Hunt and McGrew 2002; McGrew et al. 2003; Nishida, Matsusaka & McGrew 2009",4,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,drag,bend_attention,"bend shrub underfoot (""shrub-bend"") (to attract attention/courtship)",IOU,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,drag,bend_play,bend objects (in play),IOU,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,drag,drag_dominance,drag/roll trees/ objects (agonistic display),IOU,,,,,,,,,,,,147-148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,drag,drag_play,drag objects (in play),IOU,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,drag,drag_play,"drag leaves down slope making sound (""leaf-pile pushing"") (in play/intimidation)",IOU,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,drag,drag_unknown,"drag branches as thunderstorm display (""rain dance"")",IOU,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,drag,kick_dominance,kick objects to display,IOU,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,drag,kick_play,kick objects to play,IOU,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,drag,roll_threat,roll boulders at human observers,IOU,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,drag,slap_attention,"slap branch (""branch-slap"") (to attract attention/courtship)",IOU,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,drag,slap_play,slap objects to play,IOU,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,drop,drop_play,drop branches/leaves on conspecifics (in play),IOU,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,drop,drop_threat,drop branches/objects on intruders/predators,IOU,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,drop,drop_threat,"drop heavy logs to produce sound (""thumping"")",IOU,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,,hang,hang_play,hang cloth from bar to swing on,IOU,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,observational,jab,jab_hunt,stab animal with stick (prey),tooling,allocentric,1,stick to animal,static,,yes, 1-3,no,,"Boesch 1991; Huffman & Kalunde 1993, 1994; King, Stevens & Mellen 1980; Köhler 1925; Kohts 1935; Ladygina-Kohts 2002; Nakamura & Itoh 2008; Pruetz & Bertolani 2007; Sheak 1924",10,"161,189,191,194,203","Detached tools and/or chewed end to make pointed tip. Fongoli chimps that hunt bushbabies detach branch, subtract leaves/branches, trim ends/remove bark, and sometimes also trim tool tip to sharpen (50% of cases), considered tool crafting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,observational,jab,jab_open,puncture access holes in insect holes with stick (for hands/tools),tooling,allocentric,2,1) stick to nest 2) Fishing stick to nest,static,,yes, 1-3,yes,sequential,"Abwe & Morgan 2008; Bermejo & Illera 1999; Boesch, Head & Robbins 2009; Deblauwe et al. 2006; Fay & Carroll 1994; Gonzalez-Kirchner & Sainz de la Maza 1992; Jones & Sabater-Pi 1969; Kuroda 1992; McGrew & Rogers 1983; Muroyama 1991; Sabater-Pi 1972, 1974; Sanz & Morgan 2007, 2009; Sanz, Morgan & Gulick 2004; Sanz, Schöning & Morgan 2009; Sugiyama 1985; Struhsaker & Hunkeler 1971; Suzuki, Kuroda & Nishihara 1995",19,"159-160,189,191,200","sequential tool use/tool set: first make access hole with stout stick, then fish with another stick (ants/termites). May also be multi-function tool. Several cases were indirect evidence (only tools found). Detached/trimmed tools for use; some also removed leaves/branches, peeled bark and sharpened the ends.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,observational,jab,jab_threat,jab conspecific/human with stick,tooling,allocentric,1,stick to conspecific,static,,no,,no,,Birch 1945; Jones 1986; Köhler 1925; Kollar 1972; Sheak 1924,5,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,observational,jab,jab_threat,stab animal with stick (predator),tooling,allocentric,1,stick to animal,static,,yes, 1-3,no,,"Boesch 1991; Huffman & Kalunde 1993, 1994; King, Stevens & Mellen 1980; Köhler 1925; Kohts 1935; Ladygina-Kohts 2002; Nakamura & Itoh 2008; Pruetz & Bertolani 2007; Sheak 1924",10,"161,189,191,194,203","Detached tools and/or chewed end to make pointed tip. Fongoli chimps that hunt bushbabies detach branch, subtract leaves/branches, trim ends/remove bark, and sometimes also trim tool tip to sharpen (50% of cases), considered tool crafting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,observational,jab,reach_flush,forcefully and repeatedly insert stick into hole to expel animals/insects,tooling,allocentric,1,stick to hole,dynamic,,no,,no,,Goodall 1986; Nishida pers comm in kamura & Itoh 2008; Nishida 1973; Ohashi 2006,4,160-161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,anecdotal,pound,hammer_destroy,hit locked banana boxes with sticks,tooling,allocentric,1,stick to box,dynamic,,no,,no,,Wrangham 1974,1,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
great apes,Pan troglodytes,Chimpanzee,observational,pound,hammer_dominance,pound on trees with sticks (as agonistic display),tooling,allocentric,1,stick to tree,dynamic,,no,,no,,Anonymous in T. Savage and Wyman 1843–1844; Robillard in Rahm 1971 ,2,156,"Borderline anecdotal - one source anonymous, other secondhand ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
