group,latin_name,species,support,mode,submode,description,tooling_or_IOU,frame_of_reference,number_relations,temporal_order,1_dynamic_relation,2_dynamic_relation,manufacture,steps_manufacture,associative,type_associative,reference,total_references,page,comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Cacatua moluccensis,Salmon-crested cockatoo,anecdotal,scratch,scratch_autogroom,scratch self with stick/feather/wire,tooling,egocentric,1,stick to body,dynamic,,yes,1,no,,Boswall 1983,1,48,Seen in only one captive animal. Pers comm. by K. J. Bell. Bent detached feathers before using to scratch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Cacatua sanguinea,Little corella,anecdotal,scratch,scratch_autogroom,scratch self with matchstick,tooling,egocentric,1,stick to body,dynamic,,no,,no,,Smith 1970,1,47,Seen in only one captive animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Cacatua sulphurea,Sulphur-crested cockatoo,anecdotal,contain,scoop_access, scoop water to drink with nutshell/bottle top,tooling,egocentric,1,shell to water,dynamic,,no,,no,,Boswall 1983; Smith 1971,2,49,Seen in two separate captive animals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Cacatua sulphurea,Sulphur-crested cockatoo,anecdotal,scratch,scratch_autogroom,scratch self with stick,tooling,egocentric,1,stick to body,dynamic,,no,,no,,Smith 1971,1,47,Seen in two separate captive animals. Accounts reported from R. Low (unclear if her own obervations related).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Cacatua sulphurea citrinocristata),Citron-crested cockatoo,anecdotal,scratch,scratch_autogroom,scratch self with spoon,tooling,egocentric,1,stick to body,dynamic,,no,,no,,Boswall 1983,1,48,Seen in only one captive animal. Pers comm. by B. Hoad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Camarhynchus heliobates,Mangrove finch,anecdotal,probe,probe_access,probe in holes with sticks for prey,tooling,allocentric,1,stick to hole,dynamic,,yes,1,no,,Curio & Kramer 1964,1,44,Seen in only one wild animal (multiple times by same male; over several days only one to do so of six finches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Camarhynchus pallidus,Woodpecker finch,observational,jab,jab_hunt,impale insects inside holes with twigs/cactus spines,tooling,allocentric,1,twig to insect,dynamic,,yes,1,no,,"Bowman 1961; Eibl-Eibesfeldt 1961; Hundley 1963; Lack 1947, 1953",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Camarhynchus pallidus,Woodpecker finch,anecdotal,jab,jab_threat,prod conspecific aggressively,tooling,allocentric,1,twig to conspecific,dynamic,,no,,no,,Millikan & Bowman 1967,1,43,Seen in only one captive animal (part of experimental group held in captivity),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Camarhynchus pallidus,Woodpecker finch,observational/experimental,probe,probe_access,probe in holes with sticks/cactus spines for prey,tooling,allocentric,1,stick to hole,dynamic,,yes, 1-2,no,,"Bowman 1961; Eibl-Eibesfeldt 1961; Eibl- Eibesfeldt & Sielmann 1962; Gifford 1919; Hundley 1963; Lack 1947, 1953; Merlen & Davis-Merlen 2000; Millikan & Bowman 1967; Tebbich et al. 2001; Tebbich et al. 2002; Tebbich & Bshary 2004",12,43-44,"carry tools from tree to tree. Adjust posture/manipulation for optimal use. no evidence for social learning of tool use. May not only detach stick and adjust its length by subtraction, but may also remove twiglet protrusions (but do not plan this ahead)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Camarhynchus pallidus,woodpecker finch,observational,pry,pry_access,pry out insects with twigs/cactus spines,tooling,allocentric,1,twig to insect,dynamic,,yes,1,no,,"Bowman 1961; Eibl-Eibesfeldt 1961; Hundley 1963; Lack 1947, 1953",5,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Camarhynchus pallidus,woodpecker finch,anecdotal,pry,pry_remove,flip over branch epiphyte with bark piece (to search for insects),tooling,allocentric,1,bark to epiphyte,dynamic,,no,,no,,Greenhood & Norton 1999,1,42,Seen in only one wild animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Camarhynchus pallidus,Woodpecker finch,anecdotal,pry,pry_unknown,pry bark/camera buttons/human toes with twigs,tooling,allocentric,1,stick to bark,dynamic,,no,,no,,Merlen & Davis-Merlen 2000,1,42,Seen in only one captive animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Certhidea olivacea,Green warbler-finch,anecdotal,probe,probe_access,probe in crack with stem for prey,tooling,allocentric,1,stem to crack,dynamic,,no,,no,,Hundley 1963,1,44,Seen in only one wild animal. Unsuccessful at securing an insect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Ceryle rudis,Pied kingfisher,,bait,bait_hunt,place food on water as  bait for fish,IOU,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Chlamydera spp.,Bowerbirds,,affix,place_decor,"""paint"" bower by applying various items (e.g. masticated charcoal, mud etc)",IOU,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Chlamydera spp.,Bowerbirds,,bait,bait_courtship,hold bower decorations in bill and toss at females,IOU,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Ciconia ciconia,White stork,,contain,wring_access,wring water from wet moss,IOU,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Colluricincla harmonica,Grey shrikethrush,anecdotal,probe,probe_access,probe hole with twig  for prey,tooling,allocentric,1,twig to hole,dynamic,,no,,no,,Mitchell 1972,1,44,Seen in only one animal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Columba livia,Rock pigeon,,prop,prop_access,push box to climb up and reach banana,IOU,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Columba livia,Rock pigeon,experimental,reach,reach_access,push box to touch plate,tooling,allocentric,1,Box to plate,dynamic,,no,,no,,Epstein & Medalie 1983,1,43,"Seen in only one captive animal. Pigeon trained separately to push box, and to touch plate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corcorax melanorhamphos,White-winged chough,anecdotal,pound,hammer_open,hammer on mussel with mussel whole/piece,tooling,allocentric,1,mussel to mussel,dynamic,,no,,no,,Hobbs 1971,1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corcorax melanorhamphos,White-winged chough,,throw,throw_open,drop mussels to break open other mussels,IOU,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvid spp.,Crows,,affix,wipe_selfanoint,"apply smoke/embers to plumage (a type of ""anting""?)",IOU,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus albus,Pied crow,,drop,drop_open,drop stones to break ostrich eggs,IOU,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus brachyrhynchos,American crow,,affix,place_hide,place paper towel over container,IOU,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus brachyrhynchos,American crow,,contain,contain_hold,transport food/water/items with cup/nozzle/toy,IOU,,,,,,,,,,,,49,Seen in only one captive animal. Unclear if goal directed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus brachyrhynchos,American crow,anecdotal,contain,scoop_access, scoop water with cup in order to wet mash,tooling,allocentric,1,cup to mash,dynamic,,no,,no,,Beck pers obs; Hess pers. Comm,2,49,Seen in only one experimental captive animal. Pers comm/pers obs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus brachyrhynchos,American crow,,drop,drop_threat,drop objects on intruders (or as play),IOU,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus brachyrhynchos,American crow,anecdotal,jab,jab_threat,thrust at jay with stick,tooling,allocentric,1,stick to jay,dynamic,,no,,no,,Balda 2007,1,43,Seen in only one animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus brachyrhynchos,American crow,anecdotal,pound,hammer_open,hammer acorn with rock,tooling,allocentric,1,rock to acorn,dynamic,,no,,no,,Boswall 1977,1,41,Pers. comm. by F. Duvall (relayed by Boswall),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus brachyrhynchos,American crow,anecdotal,probe,probe_access,probe hole with wood piece  for prey,tooling,allocentric,1,wood to hole,dynamic,,yes, 1-2,no,,Caffrey 2000,1,47,"Seen in only one animal. Detached piece from fence rail, used its beak to create a tapered end and used to investigate hole in same fence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus brachyrhynchos,American crow,,prop,prop_access,reposition perch to reach object,IOU,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus brachyrhynchos,American crow,experimental,pry,pry_press,use rod/matchstick as lever between panel and key (to operate panel more efficiently),tooling,allocentric,1,rod to panel,dynamic,,no,,no,,Powell & Kelly 1975,1,42,Considered innovative behaviour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus brachyrhynchos,American crow,experimental,reach,push_access,push out of reach key with object,tooling,allocentric,1,object to key,dynamic,,no,,no,,Powell & Kelly 1975,1,43,"Crows were trained with matchsticks or rods, but behaviour generalized to other objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus brachyrhynchos,American crow,experimental,reach,reach_access, reach food with sticks/hooks,tooling,allocentric,1,stick/hook to food,dynamic,,no,,no,,MacDonell 2000,1,43,placement of food reward in respect to stick/hook unknown (paper inaccessible),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus brachyrhynchos,American crow,anecdotal,scratch,scratch_autogroom,scratch self with toy,tooling,egocentric,1,toy to body,dynamic,,no,,no,,Cole 2004,1,48,Seen in only one captive animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus caurinus,Northwestern crow,anecdotal,pry,pry_access,pry peanut from crack with stick in perch,tooling,allocentric,1,stick to peanut,dynamic,,no,,no,,Jewett 1924,1,42,Report of King's observations. Seen in only one captive animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus corax,Northern raven,,drop,drop_threat,drop stones on intruders,IOU,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus corax,northern raven,,drop,drop_threat,drop grass on nesting birds (to harrass to access eggs?),IOU,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus corax,Raven,,affix,place_hide,cover stored food with debris,IOU,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus cornix,Hooded crow,,drop,drop_threat,drop twigs on intruders,IOU,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus frugilegus,Rook,,affix,wipe_selfanoint,"apply smoke/embers to plumage (a type of ""anting""?)",IOU,,,,,,,,,,,,50-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus frugilegus,Rook,,block,block_flood,put plug in drain hole,IOU,,,,,,,,,,,,48-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birds,Corvus frugilegus,Rook,,drop,drop_access,drop stones/sticks to collapse platform to access reward,IOU,,,,,,,,,,,,38,Can do so sequentially in the lab (considered by Shumaker sequential tool use),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
