row,studyID,authors,year,title,journal,species,n,female,dropout,age,site,attempt_replication,successful_replication,species_comparison
506,298,"Canteloup, Bovet, Meunier",2015,Intentional gestural communication and discrimination of human attentional states in rhesus macaques (Macaca mulatta),Animal Cognition,rhesus macaque,5,4,NA,mixed,Centre de Primatologie de l'Université de Strasbourg,no,NA,no
507,174,"Agrillo, Gori, Beran",2015,Do rhesus monkeys (Macaca mulatta) perceive illusory motion?,Animal Cognition,rhesus macaque,6,0,NA,adult,Language Research Center,no,NA,no
508,570,"Noser, Byrne",2015,Wild chacma baboons (Papio ursinus) remember single foraging episodes,Animal Cognition,chacma baboon,1,0,NA,adult,Blouberg Nature Reserve,no,NA,no
509,564,"De Petrillo, Gori, Micucci, Ponsi, Paglieri, Addessi",2015,"When is it worth waiting for? Food quantity, but not food quality, affects delay tolerance in tufted capuchin monkeys",Animal Cognition,tufted capuchin,10,5,NA,adult,ISTC-CNR Primate Centre,no,NA,no
510,109,"Karg, Schmelz, Call, Tomasello",2015,Chimpanzees strategically manipulate what others can see,Animal Cognition,chimpanzee,24,12,NA,adult,Ngamba Island Chimpanzee Sanctuary,no,NA,no
511,558,"Perdue, Bramlett, Evans, Beran",2015,Waiting for what comes later: capuchin monkeys show self-control even for nonvisible delayed rewards,Animal Cognition,tufted capuchin,8,3,NA,adult,Language Research Center,no,NA,no
512,539,"Basile, Moylan, Charles, Murray",2015,Two-item same/different discrimination in rhesus monkeys (Macaca mulatta),Animal Cognition,rhesus macaque,7,0,6,adult,Laboratory of Neuropsychology,no,NA,no
513,402,"Atsumi, Nagasaka",2015,Perception of chasing in squirrel monkeys (Saimiri sciureus),Animal Cognition,common squirrel monkey,7,0,NA,adult,Rikkyo University,no,NA,no
514,33,"Malassis, Gheusi, Fagot",2015,Assessment of metacognitive monitoring and control in baboons (Papio papio),Animal Cognition,Guinea baboon,3,0,NA,adult,CNRS Primate Centre in Rousset-sur-Arc,no,NA,no
515,462,"Renner, Price, Subiaul",2016,Sequential recall of meaningful and arbitrary sequences by orangutans and human children: Does content matter?,Animal Cognition,orangutan,3,2,NA,adult,Smithsonian’s National Zoological Park,no,NA,no
516,123,"Drucker, Rossa, Brannon",2016,Comparison of discrete ratios by rhesus macaques (Macaca mulatta),Animal Cognition,rhesus macaque,2,2,NA,adult,Duke University,no,NA,no
517,531,"Beran, Rossettie, Parrish",2016,Trading up: chimpanzees (Pan troglodytes) show self-control through their exchange behavior,Animal Cognition,chimpanzee,3,1,NA,adult,Language Research Center,no,NA,no
518,134,"Molesti, Majolo",2016,Cooperation in wild Barbary macaques: factors affecting free partner choice,Animal Cognition,Barbary macaque,26,16,NA,mixed,Ifrane National Park,no,NA,no
519,504,"Engelmann, Herrmann, Tomasello",2016,The effects of being watched on resource acquisition in chimpanzees and human children,Animal Cognition,chimpanzee,26,12,NA,mixed,Sweetwaters Chimpanzee Sanctuary,no,NA,no
520,355,"Cantlon, Merritt, Brannon",2016,Monkeys display classic signatures of human symbolic arithmetic,Animal Cognition,rhesus macaque,2,2,NA,adult,University of Rochester,no,NA,no
521,34,"Wagner, Hopper, Ross",2016,Asymmetries in the production of self-directed behavior by chimpanzees and gorillas during a computerized cognitive test,Animal Cognition,chimpanzee,3,2,NA,adult,Lincoln Park Zoo,no,NA,yes
522,34,"Wagner, Hopper, Ross",2016,Asymmetries in the production of self-directed behavior by chimpanzees and gorillas during a computerized cognitive test,Animal Cognition,Western gorilla,3,1,NA,mixed,Lincoln Park Zoo,no,NA,yes
523,265,"Allritz, Call, Borkenau",2016,How chimpanzees (Pan troglodytes) perform in a modified emotional Stroop task,Animal Cognition,chimpanzee,8,5,3,NA,Wolfgang Köhler Primate Research Center,no,NA,no
524,156,"Karg, Schmelz, Call, Tomasello",2016,Differing views: Can chimpanzees do Level 2 perspective-taking?,Animal Cognition,chimpanzee,16,11,2,adult,Wolfgang Köhler Primate Research Center,no,NA,no
525,439,"LaClair, Lacreuse",2016,Reversal learning in gonadectomized marmosets with and without hormone replacement: are males more sensitive to punishment?,Animal Cognition,common marmoset,10,0,NA,adult,University of Massachusetts Amherst,no,NA,no
526,453,"Schwartz, Silberberg, Casey, Paukner, Suomi",2016,Scaling reward value with demand curves versus preference tests,Animal Cognition,tufted capuchin,6,0,NA,adult,Laboratory of Comparative Ethology,no,NA,no
527,129,"Kawai, Kubo, Masataka, Hayakawa",2016,Conserved evolutionary history for quick detection of threatening faces,Animal Cognition,Japanese macaque,3,3,NA,mixed,Primate Research Institute,no,NA,no
528,529,"Kangas, Bergman, Coyle",2016,"Touchscreen assays of learning, response inhibition, and motivation in the marmoset (Callithrix jacchus)",Animal Cognition,common marmoset,4,0,NA,adult,McLean Hospital,no,NA,yes
529,36,"Bigelow, Poremba",2016,Audiovisual integration facilitates monkeys’ short-term memory,Animal Cognition,rhesus macaque,3,1,NA,adult,University of Iowa,no,NA,no
530,204,"Anderson, Bucher, Kuroshima, Fujita",2016,Evaluation of third-party reciprocity by squirrel monkeys (Saimiri sciureus) and the question of mechanisms,Animal Cognition,common squirrel monkey,12,8,NA,adult,Primate Research Institute,no,NA,no
531,26,"Caccione, Hrubesch, Call, Rakoczy",2016,Are apes essentialists? Scope and limits of psychological essentialism in great apes,Animal Cognition,bonobo,8,NA,NA,NA,Wolfgang Köhler Primate Research Center,no,NA,yes
532,26,"Caccione, Hrubesch, Call, Rakoczy",2016,Are apes essentialists? Scope and limits of psychological essentialism in great apes,Animal Cognition,orangutan,7,NA,NA,NA,Wolfgang Köhler Primate Research Center,no,NA,yes
533,26,"Caccione, Hrubesch, Call, Rakoczy",2016,Are apes essentialists? Scope and limits of psychological essentialism in great apes,Animal Cognition,chimpanzee,16,NA,NA,NA,Wolfgang Köhler Primate Research Center,no,NA,yes
534,71,"Medam, Marzouki, Montant, Fagot",2016,Categorization does not promote symmetry in Guinea baboons (Papio papio),Animal Cognition,Guinea baboon,12,7,NA,mixed,CNRS Primate Centre in Rousset-sur-Arc,no,NA,no
535,15,"Sauciuc, Persson, Bååth, Bobrowicz, Osvath",2016,Affective forecasting in an orangutan: predicting the hedonic outcome of novel juice mixes,Animal Cognition,orangutan,1,0,NA,adult,Lund University Primate Research Station,no,NA,no
536,191,"Neves Filho, de Carvalho Neto, Taytelbaum, Malheiros, Knaus",2016,Effects of different training histories upon manufacturing a tool to solve a problem: insight in capuchin monkeys (Sapajus spp.),Animal Cognition,tufted capuchin,7,0,NA,juvenile,Instituto Brasileiro de Meio Ambiente e dos Recursos Renováveis,no,NA,no
