249,Colobus_polykomos,Colobus_polykomos,NA
250,Colobus_satanas,Colobus_satanas,NA
251,Colobus_vellerosus,Colobus_vellerosus,NA
40,Daubentonia_madagascariensis,Daubentonia_madagascariensis,Daubentonia madagascariensis
30,Erythrocebus_patas,Erythrocebus_patas,Erythrocebus patas
41,Eulemur_coronatus,Eulemur_coronatus,NA
42,Eulemur_fulvus_albifrons,Eulemur_albifrons,NA
43,Eulemur_fulvus_albocollaris,Eulemur_cinereiceps,NA
44,Eulemur_fulvus_collaris,Eulemur_collaris,NA
45,Eulemur_fulvus_fulvus,Eulemur_fulvus,Eulemur fulvus
46,Eulemur_fulvus_mayottensis,Eulemur_fulvus,NA
47,Eulemur_fulvus_rufus,Eulemur_rufus,NA
48,Eulemur_fulvus_sanfordi,Eulemur_sanfordi,NA
49,Eulemur_macaco_flavifrons,Eulemur_flavifrons,NA
50,Eulemur_macaco_macaco,Eulemur_macaco,Eulemur macaco
51,Eulemur_mongoz,Eulemur_mongoz,NA
52,Eulemur_rubriventer,Eulemur_rubriventer,NA
285,Euoticus_elegantulus,Euoticus_elegantulus,NA
286,Galago_alleni,Galago_alleni,Galagonidae spp.
287,Galago_gallarum,Galago_gallarum,NA
288,Galago_granti,Galago_granti,NA
289,Galago_matschiei,Galago_matschiei,NA
290,Galago_moholi,Galago_moholi,NA
291,Galago_senegalensis,Galago_senegalensis,NA
292,Galagoides_demidoff,Galago_demidoff,NA
293,Galagoides_zanzibaricus,Galago_zanzibaricus,NA
175,Gorilla_beringei,Gorilla_beringei,NA
176,Gorilla_gorilla_gorilla,Gorilla_gorilla,gorilla spp
177,Gorilla_gorilla_graueri,Gorilla_beringei,NA
53,Hapalemur_aureus,Hapalemur_aureus,NA
54,Hapalemur_griseus,Hapalemur_griseus,NA
55,Hapalemur_griseus_alaotrensis,Hapalemur_alaotrensis,NA
56,Hapalemur_griseus_griseus,Hapalemur_griseus,NA
57,Hapalemur_griseus_meridionalis,Hapalemur_meridionalis,NA
58,Hapalemur_griseus_occidentalis,Hapalemur_occidentalis,NA
59,Hapalemur_simus,Prolemur_simus,NA
178,Hylobates_agilis,Hylobates_agilis,Hylobates spp.
179,Hylobates_klossii,Hylobates_klossii,NA
180,Hylobates_lar,Hylobates_lar,NA
181,Hylobates_moloch,Hylobates_moloch,NA
182,Hylobates_muelleri,Hylobates_muelleri,NA
183,Hylobates_pileatus,Hylobates_pileatus,NA
60,Indri_indri,Indri_indri,NA
119,Lagothrix_lagotricha,Lagothrix_lagotricha,Lagothrix lagotricha
61,Lemur_catta,Lemur_catta,Lemur catta
146,Leontopithecus_chrysomelas,Leontopithecus_chrysomelas,NA
147,Leontopithecus_chrysopygus,Leontopithecus_chrysopygus,NA
148,Leontopithecus_rosalia,Leontopithecus_rosalia,Leontopithecus rosalia rosalia
62,Lepilemur_aeeclis,Lepilemur_aeeclis,NA
63,Lepilemur_ankaranensis,Lepilemur_ankaranensis,NA
64,Lepilemur_dorsalis,Lepilemur_dorsalis,NA
65,Lepilemur_edwardsi,Lepilemur_edwardsi,NA
66,Lepilemur_hubbardorum,Lepilemur_hubbardorum,NA
67,Lepilemur_leucopus,Lepilemur_leucopus,NA
68,Lepilemur_manasamody,Lepilemur_grewcockorum,NA
69,Lepilemur_microdon,Lepilemur_microdon,NA
70,Lepilemur_mitsinjoensis,"not formally described, likely invalid: https://bmcevolbiol.biomedcentral.com/articles/10.1186/1471-2148-6-17",NA
71,Lepilemur_mustelinus,Lepilemur_mustelinus,NA
72,Lepilemur_otto,Lepilemur_otto,NA
73,Lepilemur_randrianasoli,Lepilemur_randrianasoli,NA
74,Lepilemur_ruficaudatus,Lepilemur_ruficaudatus,NA
75,Lepilemur_sahamalazensis,Lepilemur_sahamalazensis,NA
76,Lepilemur_seali,Lepilemur_seali,NA
77,Lepilemur_septentrionalis,Lepilemur_septentrionalis,NA
211,Lophocebus_albigena,Lophocebus_albigena,Lophocebus spp.
212,Lophocebus_aterrimus,Lophocebus_aterrimus,NA
166,Loris_lydekkerianus,Loris_lydekkerianus,Loridae spp.
167,Loris_tardigradus,Loris_tardigradus,NA
213,Macaca_arctoides,Macaca_arctoides,Macaca spp.
214,Macaca_assamensis,Macaca_assamensis,NA
215,Macaca_brunnescens,Macaca_ochreata_brunnescens,NA
216,Macaca_cyclopis,Macaca_cyclopis,NA
217,Macaca_fascicularis,Macaca_fascicularis,NA
218,Macaca_fuscata,Macaca_fuscata,NA
219,Macaca_hecki,Macaca_hecki,NA
220,Macaca_leonina,Macaca_leonina,NA
221,Macaca_maura,Macaca_maura,NA
222,Macaca_mulatta,Macaca_mulatta,NA
223,Macaca_munzala,Macaca_munzala,NA
224,Macaca_nemestrina,Macaca_nemestrina,NA
225,Macaca_nemestrina_leonina,Macaca_leonina,NA
226,Macaca_nemestrina_siberu,Macaca_pagensis_siberu,NA
227,Macaca_nigra,Macaca_nigra,NA
228,Macaca_nigrescens,Macaca_nigrescens,NA
229,Macaca_ochreata,Macaca_ochreata_ochreata,NA
230,Macaca_pagensis,Macaca_pagensis_pagensis,NA
231,Macaca_radiata,Macaca_radiata,NA
232,Macaca_silenus,Macaca_silenus,NA
233,Macaca_sinica,Macaca_sinica,NA
234,Macaca_sylvanus,Macaca_sylvanus,NA
235,Macaca_thibetana,Macaca_thibetana,NA
236,Macaca_tonkeana,Macaca_tonkeana,NA
237,Mandrillus_leucophaeus,Mandrillus_leucophaeus,Mandrillus leucophaeus
238,Mandrillus_sphinx,Mandrillus_sphinx,Mandrillus sphinx
78,Microcebus_berthae,Microcebus_berthae,NA
79,Microcebus_bongolavensis,Microcebus_bongolavensis,NA
80,Microcebus_danfossi,Microcebus_danfossi,NA
81,Microcebus_griseorufus,Microcebus_griseorufus,NA
82,Microcebus_jollyae,Microcebus_jollyae,NA
